frame,time_sec,x,y,speed,heading_rad,heading_deg,articulation_rad,articulation_deg
0,0.0,5.0000,5.0000,0.0000,0.2915,16.6992,0.0000,0.0000
100,0.1,5.0007,5.0002,0.0150,0.2915,16.6992,0.0000,0.0000
200,0.2,5.0035,5.0010,0.0450,0.2915,16.6992,-0.0000,-0.0000
300,0.3,5.0098,5.0030,0.0900,0.2915,16.6992,0.0000,0.0000
400,0.4,5.0209,5.0063,0.1446,0.2915,16.6992,-0.0000,-0.0000
500,0.5,5.0372,5.0112,0.1976,0.2915,16.6992,0.0000,0.0000
600,0.6,5.0585,5.0175,0.2491,0.2915,16.6992,-0.0000,-0.0000
700,0.7,5.0846,5.0254,0.2991,0.2915,16.6992,0.0000,0.0000
800,0.8,5.1155,5.0346,0.3477,0.2915,16.6992,-0.0000,-0.0000
900,0.9,5.1509,5.0453,0.3949,0.2915,16.6992,0.0000,0.0000
1000,1.0,5.1908,5.0572,0.4408,0.2915,16.6992,-0.0000,-0.0000
1100,1.1,5.2351,5.0705,0.4853,0.2915,16.6992,0.0000,0.0000
1200,1.2,5.2835,5.0851,0.5286,0.2915,16.6992,-0.0000,-0.0000
1300,1.3,5.3361,5.1008,0.5706,0.2915,16.6992,0.0000,0.0000
1400,1.4,5.3926,5.1178,0.6115,0.2915,16.6992,-0.0000,-0.0000
1500,1.5,5.4530,5.1359,0.6511,0.2915,16.6992,0.0000,0.0000
1600,1.6,5.5171,5.1551,0.6897,0.2915,16.6992,-0.0000,-0.0000
1700,1.7,5.5848,5.1755,0.7271,0.2915,16.6992,0.0000,0.0000
1800,1.8,5.6561,5.1968,0.7635,0.2915,16.6992,-0.0000,-0.0000
1900,1.9,5.7309,5.2193,0.7988,0.2915,16.6992,0.0000,0.0000
2000,2.0,5.8090,5.2427,0.8331,0.2915,16.6992,-0.0000,-0.0000
2100,2.1,5.8903,5.2671,0.8665,0.2915,16.6992,0.0000,0.0001
2200,2.2,5.9747,5.2924,0.8989,0.2915,16.6992,-0.0000,-0.0003
2300,2.3,6.0623,5.3187,0.9303,0.2915,16.6993,0.0000,0.0009
2400,2.4,6.1528,5.3458,0.9609,0.2915,16.6992,-0.0001,-0.0029
2500,2.5,6.2462,5.3738,0.9906,0.2915,16.6995,0.0002,0.0090
2600,2.6,6.3424,5.4027,1.0194,0.2914,16.6985,-0.0005,-0.0280
2700,2.7,6.4413,5.4324,1.0474,0.2915,16.7015,0.0015,0.0868
2800,2.8,6.5428,5.4628,1.0747,0.2913,16.6920,-0.0047,-0.2696
2900,2.9,6.6470,5.4941,1.1011,0.2919,16.7224,0.0146,0.8379
3000,3.0,6.7536,5.5260,1.1268,0.2902,16.6256,-0.0455,-2.6043
3100,3.1,6.8626,5.5589,1.1517,0.2955,16.9330,0.1404,8.0448
3200,3.2,6.9742,5.5919,1.1760,0.2788,15.9728,-0.4079,-23.3738
3300,3.3,7.0876,5.6270,1.1995,0.3243,18.5806,0.8551,48.9950
3400,3.4,7.2035,5.6618,1.2224,0.2544,14.5767,-1.0472,-60.0000
3500,3.5,7.3217,5.6968,1.2446,0.3256,18.6552,1.0472,60.0000
3600,3.6,7.4418,5.7328,1.2662,0.2531,14.5042,-1.0472,-60.0000
3700,3.7,7.5642,5.7691,1.2871,0.3268,18.7256,1.0472,60.0000
3800,3.8,7.6884,5.8063,1.3075,0.2520,14.4358,-1.0472,-60.0000
3900,3.9,7.8146,5.8437,1.3273,0.3280,18.7921,1.0472,60.0000
4000,4.0,7.9426,5.8821,1.3465,0.2508,14.3712,-1.0472,-60.0000
4100,4.1,8.0725,5.9206,1.3652,0.3291,18.8548,1.0472,60.0000
4200,4.2,8.2041,5.9600,1.3833,0.2498,14.3103,-1.0472,-60.0000
4300,4.3,8.3375,5.9995,1.4009,0.3301,18.9140,1.0472,60.0000
4400,4.4,8.4724,6.0400,1.4181,0.2488,14.2528,-1.0472,-60.0000
4500,4.5,8.6091,6.0805,1.4347,0.3311,18.9698,1.0472,60.0000
4600,4.6,8.7472,6.1219,1.4508,0.2478,14.1986,-1.0472,-60.0000
4700,4.7,8.8870,6.1633,1.4665,0.3320,19.0225,1.0472,60.0000
4800,4.8,9.0281,6.2057,1.4818,0.2469,14.1474,-1.0472,-60.0000
4900,4.9,9.1708,6.2479,1.4966,0.3329,19.0723,1.0472,60.0000
5000,5.0,9.3147,6.2911,1.5110,0.2461,14.0990,-1.0472,-60.0000
5100,5.1,9.4602,6.3342,1.5249,0.3337,19.1192,1.0472,60.0000
5200,5.2,9.6068,6.3782,1.5385,0.2453,14.0535,-1.0472,-60.0000
5300,5.3,9.7549,6.4220,1.5517,0.3345,19.1635,1.0472,60.0000
5400,5.4,9.9041,6.4668,1.5645,0.2445,14.0104,-1.0472,-60.0000
5500,5.5,10.0546,6.5113,1.5769,0.3352,19.2053,1.0472,60.0000
5600,5.6,10.2061,6.5568,1.5890,0.2438,13.9698,-1.0472,-60.0000
5700,5.7,10.3590,6.6020,1.6008,0.3359,19.2447,1.0472,60.0000
5800,5.8,10.5128,6.6482,1.6122,0.2432,13.9315,-1.0472,-60.0000
5900,5.9,10.6678,6.6941,1.6233,0.3365,19.2820,1.0472,60.0000
6000,6.0,10.8237,6.7409,1.6340,0.2425,13.8954,-1.0472,-60.0000
6100,6.1,10.9808,6.7874,1.6445,0.3371,19.3171,1.0472,60.0000
6200,6.2,11.1387,6.8348,1.6546,0.2419,13.8612,-1.0472,-60.0000
6300,6.3,11.2978,6.8818,1.6645,0.3377,19.3502,1.0472,60.0000
6400,6.4,11.4576,6.9299,1.6741,0.2414,13.8290,-1.0472,-60.0000
6500,6.5,11.6185,6.9774,1.6834,0.3383,19.3815,1.0472,60.0000
6600,6.6,11.7800,7.0260,1.6924,0.2408,13.7986,-1.0472,-60.0000
6700,6.7,11.9427,7.0740,1.7012,0.3388,19.4110,1.0472,60.0000
6800,6.8,12.1059,7.1231,1.7098,0.2403,13.7700,-1.0472,-60.0000
6900,6.9,12.2702,7.1717,1.7181,0.3393,19.4389,1.0472,60.0000
7000,7.0,12.4350,7.2212,1.7261,0.2399,13.7429,-1.0472,-60.0000
7100,7.1,12.6008,7.2702,1.7339,0.3397,19.4652,1.0472,60.0000
7200,7.2,12.7672,7.3202,1.7415,0.2394,13.7174,-1.0472,-60.0000
7300,7.3,12.9345,7.3697,1.7489,0.3402,19.4900,1.0472,60.0000
7400,7.4,13.1022,7.4201,1.7561,0.2390,13.6933,-1.0472,-60.0000
7500,7.5,13.2709,7.4699,1.7631,0.3406,19.5134,1.0472,60.0000
7600,7.6,13.4399,7.5208,1.7698,0.2386,13.6705,-1.0472,-60.0000
7700,7.7,13.6099,7.5710,1.7764,0.3410,19.5355,1.0472,60.0000
7800,7.8,13.7802,7.6222,1.7828,0.2382,13.6491,-1.0472,-60.0000
7900,7.9,13.9514,7.6728,1.7890,0.3413,19.5563,1.0472,60.0000
8000,8.0,14.1229,7.7243,1.7950,0.2379,13.6288,-1.0472,-60.0000
8100,8.1,14.2953,7.7752,1.8009,0.3417,19.5760,1.0472,60.0000
8200,8.2,14.4679,7.8272,1.8066,0.2375,13.6097,-1.0472,-60.0000
8300,8.3,14.6413,7.8784,1.8121,0.3420,19.5945,1.0472,60.0000
8400,8.4,14.8150,7.9307,1.8175,0.2372,13.5917,-1.0472,-60.0000
8500,8.5,14.9895,7.9822,1.8227,0.3423,19.6121,1.0472,60.0000
8600,8.6,15.1642,8.0347,1.8278,0.2369,13.5747,-1.0472,-60.0000
8700,8.7,15.3396,8.0865,1.8327,0.3426,19.6286,1.0472,60.0000
8800,8.8,15.5153,8.1394,1.8375,0.2366,13.5586,-1.0472,-60.0000
8900,8.9,15.6916,8.1914,1.8421,0.3429,19.6442,1.0472,60.0000
9000,9.0,15.8681,8.2446,1.8466,0.2364,13.5435,-1.0472,-60.0000
9100,9.1,16.0454,8.2968,1.8510,0.3425,19.6259,1.0449,59.8656
9200,9.2,16.2228,8.3501,1.8553,0.2356,13.4962,-1.0472,-60.0000
9300,9.3,16.4009,8.4024,1.8594,0.3415,19.5672,1.0420,59.7041
9400,9.4,16.5791,8.4557,1.8634,0.2340,13.4101,-1.0472,-60.0000
9500,9.5,16.7581,8.5080,1.8673,0.3397,19.4644,1.0389,59.5272
9600,9.6,16.9372,8.5612,1.8711,0.2318,13.2814,-1.0472,-60.0000
9700,9.7,17.1170,8.6132,1.8748,0.3371,19.3131,1.0355,59.3314
9800,9.8,17.2969,8.6661,1.8784,0.2287,13.1057,-1.0472,-60.0000
9900,9.9,17.4776,8.7177,1.8818,0.3335,19.1081,1.0317,59.1127
10000,10.0,17.6584,8.7701,1.8852,0.2248,12.8778,-1.0472,-60.0000
